195,56.61,3052.00,0.0,1541796629171
196,56.68,3064.00,0.0,1541796629173
197,56.65,3079.00,0.0,1541796629174
198,56.35,3055.00,0.0,1541796629175
199,56.45,3027.00,0.0,1541796629177
200,56.51,3032.00,0.0,1541796629178
201,56.36,3072.00,0.0,1541796629179
202,56.00,3068.00,0.0,1541796629181
203,56.00,3044.00,0.0,1541796629182
204,56.00,3007.00,0.0,1541796629184
205,56.00,3017.00,0.0,1541796629185
206,55.00,3003.00,0.0,1541796629186
207,55.00,3048.00,0.0,1541796629188
208,55.00,3049.00,0.0,1541796629189
209,55.00,3039.00,0.0,1541796629191
210,55.00,3049.00,0.0,1541796629192
211,55.00,3026.00,0.0,1541796629193
212,55.00,3024.00,0.0,1541796629195
213,55.00,3020.00,0.0,1541796629196
214,55.00,3022.00,0.0,1541796629208
215,55.00,3022.00,0.0,1541796629210
216,55.00,3010.00,0.0,1541796629212
217,55.00,3008.00,0.0,1541796629214
218,55.35,3001.00,0.0,1541796629215
219,55.28,2997.00,0.0,1541796629217
220,55.22,2989.00,0.0,1541796629218
221,55.23,2997.00,0.0,1541796629220
222,55.19,3009.00,0.0,1541796629221
223,55.19,2984.00,0.0,1541796629222
224,55.25,2989.00,0.0,1541796629224
225,54.97,2936.00,0.0,1541796629225
226,54.83,2943.00,0.0,1541796629226
227,54.85,2968.00,0.0,1541796629228
228,54.91,2976.00,0.0,1541796629229
229,54.74,2979.00,0.0,1541796629230
230,54.59,2976.00,0.0,1541796629232
231,54.48,2950.00,0.0,1541796629233
232,54.54,2920.00,0.0,1541796629234
233,54.65,2936.00,0.0,1541796629236
234,54.67,2934.00,0.0,1541796629237
235,54.39,2928.00,0.0,1541796629238
236,54.37,2912.00,0.0,1541796629240
237,54.47,2937.00,0.0,1541796629241
238,54.49,2948.00,0.0,1541796629243
239,54.39,2922.00,0.0,1541796629244
240,54.26,2897.00,0.0,1541796629245
241,54.05,2925.00,0.0,1541796629247
242,54.15,2900.00,0.0,1541796629248
243,53.00,2914.00,0.0,1541796629249
244,54.00,2928.00,0.0,1541796629251
245,53.00,2906.00,0.0,1541796629252
246,53.00,2893.00,0.0,1541796629253
247,54.00,2939.00,0.0,1541796629255
248,54.00,2930.00,0.0,1541796629256
249,55.00,2969.00,0.0,1541796629258
250,55.00,2992.00,0.0,1541796629259
251,55.00,2990.00,0.0,1541796629260
252,55.00,3037.00,0.0,1541796629262
253,56.00,3066.00,0.0,1541796629263
254,57.00,3103.00,0.0,1541796629264
255,57.00,3117.00,0.0,1541796629266
256,58.00,3140.00,0.0,1541796629268
257,59.00,3187.00,0.0,1541796629269
258,59.73,3235.00,0.0,1541796629270
259,60.00,3251.00,0.0,1541796629272
260,60.25,3253.00,0.0,1541796629273
261,60.38,3271.00,0.0,1541796629275
262,61.12,3310.00,0.0,1541796629276
263,61.25,3319.00,0.0,1541796629277
264,61.77,3337.00,0.0,1541796629279
265,62.06,3357.00,0.0,1541796629283
266,62.22,3379.00,0.0,1541796629284
